Expression	Value	Location	Type	
  int m,count,jun;
  int a,b;
  m=36; //πÃ∂®Œ™ Æ–– µ´ «Œ™¡À–ﬁ∏ƒ∑Ω±„
  for(int i=0;i<=m-1;i++) count+=shuju[i];
  jun=count/m;
  for(int i=0;i<=m-1;i++) a+=(shuju[i]-jun)*(shuju[i]-jun);
  b=a/(m-1); //—˘±æ∑Ω≤Ó
  return b;
  
}
int jisuan1(int shuju[]) 
{
  int m,count,jun;
  m=36; //πÃ∂®Œ™ Æ–– µ´ «Œ™¡À–ﬁ∏ƒ∑Ω±„
  for(int i=0;i<=m-1;i++) count+=shuju[i];
  jun=count/m;
  return jun;
  
}
void fangcha1() //∑Ω≤Ó—∞’“ µ⁄“ª––
{
  /********* Æ¡–‘™Àÿ*******/
  int a,b;
  int shuju[36];
  for(a=30;a<40;a++)
  {
    for(b=75;b<=110;b++) shuju[b-75]=(int)image[a][b];
    re[n]=jisuan(shuju); 
    rejun[n]=jisuan1(shuju);
    n++;
    if(n>10)n=0;
  }

}
void hengduan()
{
  for(int c=0;c<=9;c++)
  {
    if(re[c]<=10) fangchajun++;
    if(abs(rejun[c]-55)<=5)ping++;
  }
  
  if( fangchajun>=9&&ping>=9) luzhang=1;
  
}
  /*****************************************/
void SetInitVal()
{
  for (int c=0;c<=C_H-1;c++)
  {
    Right[c]=188;
    Left[c]=0;
    Middle[c]=94;
    fangchajun=0;
    ping=0;
    Right_Flag[c]=0;
    Left_Flag[c]=0;
  }
}

void getline_first(void)
{

  SetInitVal();
  LeftLose        = 0;//±‰¡ø«Â¡„
  RightLose       = 0;
  AllLose         = 0;
  
  firstyuzhi=90;
  cn=0;
  for(int c=0;c<=187;c++)
  {
if(image[119][c]>firstyuzhi)
  {
    cn=c;
  }
    
  }
  
  /************œ»º”“ª≈‹“ª≈‹ø¥ø¥Ã·œﬂÀŸ∂»****************/
  for(int c=cn;c<=182;c++)
  {
    if((image[119][c]-image[119][c+5])>=25)
    {
      Right[0]=c;
      Right_Flag[0]=1;
      break;
    }
  }
  for(int i = cn;i>=5;i--)
      {
        if((image[119][i]-image[119][i-5])>=25)
        {
          Left[0] = i;
          Left_Flag[0]=1;
          break;
        }
      }
  /**************‘› ±ªπ√ª”–≤πœﬂ****************/
  
  if(Right_Flag[0]==1&&Left_Flag[0]==1)
  {
  Middle[0]=(Right[0]+Left[0])/2;
  }
 else if(Right_Flag[0]==0&&Left_Flag[0]==1)
  {
    RightLose++;
   Middle[0]=(Left[0]+width[0]/2);
  }
  else if(Right_Flag[0]==1&&Left_Flag[0]==0)
  {
    LeftLose++;
    Middle[0]=(Right[0]-width[0]/2);
  }
  else if(Right_Flag[0]==0&&Left_Flag[0]==0)
  {
    AllLose++;
    Left[0]=10;
    Right[0]=177;
    Middle[0]=94; //”√÷–œﬂ÷±Ω”∏¯¡À
  }
}
void getline_others()
{
  getline_first();
  fangcha1();
  hengduan();
  int xian=5;
  if(abc==4)xian=0;
  else xian=3;
  for(int c=1;c<=C_H-1;c++)
  {
      Midpri=Middle[c-1];
    
    /****************◊Û”“—∞’“Ã·œﬂ∑®********************/
    
    for(int j=Midpri;j>=Left[c-1]-xian;j--)
    {
      if((image[119-c][j]-image[119-c][j-5])>=30)
        {
          Left[c] = j;
          Left_Flag[c]=1;
          break;
        }
      if(j<=6) break;
    }
    for(int j=Midpri;j<=Right[c-1]+xian;j++)
    {
      if((image[119-c][j]-image[119-c][j+5])>=30)
        {
          Right[c] = j;
          Right_Flag[c]=1;
          break;
        }
      if(j>=181) break;
    }
    if(Left_Flag[c]==1&&Right_Flag[c]==1)
    {
    Middle[c]=(Right[c]+Left[c])/2;
    }
    else if(Right_Flag[c]==0&&Left_Flag[c]==1)
  {
    RightLose++;
    Middle[c]=(Left[c]+width[c]/2);
    Right[c]=Right[c-1];
  }
  else if(Right_Flag[c]==1&&Left_Flag[c]==0)
  {
    LeftLose++;
    Middle[c]=(Right[c]-width[c]/2);
    Left[c]=Left[c-1];
  }
  else if(Right_Flag[c]==0&&Left_Flag[c]==0)
  {
    AllLose++;
    Middle[c]=Middle[c-1];
    Left[c]=Left[c-1];
    Right[c]=Right[c-1];
  }
  }
 // for(int c=0;c<=69;c++) width[c]=Right[c]-Left[c];
  /**************************º∆À„ERROR*******************************/
    Weight=WeightSum=0;
    int jie=0;
    if(abc==4)jie=50;
    else jie=40;
    for(int c=jie;c<70;c++)
    {
      if(Right_Flag[c]==1||Left_Flag[c]==1)
      {
        top_row=70-c;
        break;
      }
    }
    
    for(int c=(top_row-top_row/4);c>=top_row/5;c--)
    {
      if((Right_Flag[70-c]==1||Left_Flag[70-c]==1)) 
      {
        Weight+=(94-Middle[70-c]);
        WeightSum++;
      }
    }
    if(WeightSum!=0) Errorcam=(float)Weight/(float)WeightSum;
    /*******************ª∑µ∫◊Ó¥Û◊Û”“µ„≈–∂œ*********************/

    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Left_Flag[c]==1)
      {
        top_zuo=c;
        break;
      }
      
    }
    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Right_Flag[c]==1)
      {
        top_you=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=70;c++)//leftdot
    {
      if((Left[c-1]<Left[c])&&(Left[c+1]<=Left[c]))
      {
        leftdot=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=60;c++)//leftdot
    {
      if((Right[c-1]>Right[c])&&(Right[c+1]>=Right[c]))
      {
        rightdot=c;
        break;
      }
      
    }
   /***********************»¸µ¿≈–∂œºÚµ•¥¶¿Ì**********************/
     abc=0;
   if(LeftLose>=48&&RightLose==0&&AllLose==0&&zhidao==0&&LeftLose<=56) 
   {
     huanzuo=1;
     
   }
   if(Left_Flag[0]==0&&huanzuo==1) 
   {
     zuob=1;
     zhidao=1;
   
   }
   
   if(huanzuo==1&&zuob==1) 
   {
     if(leftdot<=35) jin=1;
     huandao();
   }
   if(AllLose>20&&LeftLose>20&&RightLose==0)
   {
     huanzuo=0;
     zuob=0;
     jin=0;
     
   }
   
   if(LeftLose<5&&RightLose<5&&AllLose<5) zhidao=0;
   if(LeftLose==0&&RightLose>=15&&AllLose==0) 
   {
    huanyou=1;
   
   }
   if(AllLose>20&&LeftLose<10&&RightLose<10) 
   {
     abc=4;
   
   }
   /*********************************∫·∂œ****************************/
  
  
  /********************************************************************/
   if(Errorcam>30) Errorcam=30;
   else if (Errorcam<-30) Errorcam=-30;
   
   }
   
 
 #include "headfile.h"
 #include "Getline.h"
/****µÁ¥≈****/
  uint16 sensor[5][SampleNum] = {0}; //µÁ∏–µƒ∂‡∏ˆ≤…—˘÷µ
  uint8  peak[5] = {0}; //√ø∏ˆµÁ∏–µƒ∑Â∑Â÷µ
  int  AD=0;
 /***…„œÒÕ∑***/
  uint16 Right[C_H];
  uint16 Left[C_H];
  uint8 Right_Flag[C_H];
  uint8 Left_Flag[C_H];
  int Middle[C_H];
  int Midpri;
  int last_row;
  int top_row;
  int RightLose,LeftLose,AllLose;
  int huanzuo,huanyou,jin;
  int top_zuo,top_you,leftdot,rightdot,zuob,youb;
  int rightlosestart,leftlosestart;
  int width[C_H]={
      150,149,148,146,145,143,141,139,137,135,
      134,132,130,128,126,124,123,121,119,117,
      116,114,112,111,109,107,105,103,101,99,
      97,95,93,92,90,87,85,83,81,79,77,75,73,
      71,69,67,65,63,61,58,56,54,52,51,49,47,
      45,42,40,38,36,34,32,30,28,26,24,22,20,18
  };
  float weight[70]={
                     0,0,0,0,0,0,0,0,0,0,
                    0,0,0,0,0,0.5,0.5,2,1,1,     //0-9––£¨ª˘±æ”√≤ªµΩ
                    2,1,1,1,1,1,2,2,2,2,  //0-19––£¨ª˘±æ”√≤ªµΩ
                   
                   3.8,3.8,1.8,1.8,2.8,3.3,2.3,3.3,3.3,3.3,//20-29––

                   //1.05,1.05,1.05,1.05,1.05,2,2,2,2,2,
                    
                   2,2,2,2,2,2.0,2.0,2.5,2.5,2.5,//30-39––
            
                   2.1,2.1,2.1,1,1,2,1,1,1,1,//40-49––
                  1,0,0,0,0,};//◊ÓΩ¸ Æ––*///≤ª—πœﬂ£¨”√”⁄Õ‰µ¿
  int firstyuzhi;
  int cn,re[20],abc,n;
  float Errorcam,Errorele;
  int  Weight,WeightSum;
  int luzhang,zhidao;
  /*****************************ª∑µ∫**************************/
  void huandao()              //ΩˆΩˆ◊Ûª∑µ∫»Îª∑
{
  float a,b;
  int zuobian;
  for(int c=0;c<=60;c++)
  {
    if(Left_Flag[c]==0) zuobian=c;
  }
 
 if(jin==1)
  {
    for(int c=0;c<=30;c++)
    {
      
      a+=(115-(Left[c]+width[c]/2));
      b++;

    }
    Errorcam=a/b;
  }
  else 
  {
     for(int c=0;c<=10;c++)
    {
      
      a+=(94-Middle[c]);
      b++;
      

    }
    Errorcam=a/b;
  }
  
  if(Errorcam>=30) Errorcam=30;
  if(Errorcam<=-30) Errorcam=-30;
}

  /*********************◊¢“‚ø…“‘ π”√∑Ω≤Óæ˘÷µ¿¥ºÏ—ÈºŸ…Ë  ◊‘º∫∏¯∂®„–÷µªÚ’ﬂ∞¥’’∑÷≤º*********/
int jisuan(int shuju[]) 
{
  int m,count,jun;
  int a,b;
  m=10; //πÃ∂®Œ™ Æ–– µ´ «Œ™¡À–ﬁ∏ƒ∑Ω±„
  for(int i=0;i<=m-1;i++) count+=shuju[i];
  jun=count/m;
  for(int i=0;i<=m-1;i++) a+=(shuju[i]-jun)*(shuju[i]-jun);
  b=a/(m-1); //—˘±æ∑Ω≤Ó
  return b;
  
}
void fangcha1(int row) //∑Ω≤Ó—∞’“ µ⁄“ª––
{
  /********* Æ¡–‘™Àÿ*******/
  int a,b;
  int shuju[10];
  for(a=0;a<=177;a+=10)
  {
    for(b=a;b<=a+9;b++) shuju[b-a]=(int)image[row][b];
    re[n]=jisuan(shuju);  
    n++;
    if(n>=20)n=0;
  }

}
  /*****************************************/
void SetInitVal()
{
  for (int c=0;c<=C_H-1;c++)
  {
    Right[c]=188;
    Left[c]=0;
    Middle[c]=94;
   
    Right_Flag[c]=0;
    Left_Flag[c]=0;
  }
}

void getline_first(void)
{

  SetInitVal();
  LeftLose        = 0;//±‰¡ø«Â¡„
  RightLose       = 0;
  AllLose         = 0;
  firstyuzhi=90;
  cn=0;
  for(int c=0;c<=187;c++)
  {
if(image[119][c]>firstyuzhi)
  {
    cn=c;
  }
    
  }
  
  /************œ»º”“ª≈‹“ª≈‹ø¥ø¥Ã·œﬂÀŸ∂»****************/
  for(int c=cn;c<=182;c++)
  {
    if((image[119][c]-image[119][c+5])>=25)
    {
      Right[0]=c;
      Right_Flag[0]=1;
      break;
    }
  }
  for(int i = cn;i>=5;i--)
      {
        if((image[119][i]-image[119][i-5])>=25)
        {
          Left[0] = i;
          Left_Flag[0]=1;
          break;
        }
      }
  /**************‘› ±ªπ√ª”–≤πœﬂ****************/
  
  if(Right_Flag[0]==1&&Left_Flag[0]==1)
  {
  Middle[0]=(Right[0]+Left[0])/2;
  }
 else if(Right_Flag[0]==0&&Left_Flag[0]==1)
  {
    RightLose++;
   Middle[0]=(Left[0]+width[0]/2);
  }
  else if(Right_Flag[0]==1&&Left_Flag[0]==0)
  {
    LeftLose++;
    Middle[0]=(Right[0]-width[0]/2);
  }
  else if(Right_Flag[0]==0&&Left_Flag[0]==0)
  {
    AllLose++;
    Left[0]=10;
    Right[0]=177;
    Middle[0]=94; //”√÷–œﬂ÷±Ω”∏¯¡À
  }
}
void getline_others()
{
  getline_first();
  int h=49;
  fangcha1(h);
  int xian=5;
  if(abc==4)xian=0;
  else xian=2;
  for(int c=1;c<=C_H-1;c++)
  {
      Midpri=Middle[c-1];
    
    /****************◊Û”“—∞’“Ã·œﬂ∑®********************/
    
    for(int j=Midpri;j>=Left[c-1]-xian;j--)
    {
      if((image[119-c][j]-image[119-c][j-5])>=30)
        {
          Left[c] = j;
          Left_Flag[c]=1;
          break;
        }
      if(j<=5) break;
    }
    for(int j=Midpri;j<=Right[c-1]+xian;j++)
    {
      if((image[119-c][j]-image[119-c][j+5])>=30)
        {
          Right[c] = j;
          Right_Flag[c]=1;
          break;
        }
      if(j>=182) break;
    }
    if(Left_Flag[c]==1&&Right_Flag[c]==1)
    {
    Middle[c]=(Right[c]+Left[c])/2;
    }
    else if(Right_Flag[c]==0&&Left_Flag[c]==1)
  {
    RightLose++;
    Middle[c]=(Left[c]+width[c]/2);
    Right[c]=Right[c-1];
  }
  else if(Right_Flag[c]==1&&Left_Flag[c]==0)
  {
    LeftLose++;
    Middle[c]=(Right[c]-width[c]/2);
    Left[c]=Left[c-1];
  }
  else if(Right_Flag[c]==0&&Left_Flag[c]==0)
  {
    AllLose++;
    Middle[c]=Middle[c-1];
    Left[c]=Left[c-1];
    Right[c]=Right[c-1];
  }
  }
  
  /**************************º∆À„ERROR*******************************/
    Weight=WeightSum=0;
    int jie=0;
    if(abc==4)jie=50;
    else jie=30;
    for(int c=jie;c<70;c++)
    {
      if(Right_Flag[c]==1||Left_Flag[c]==1)
      {
        top_row=70-c;
        break;
      }
    }
    
    for(int c=(top_row-top_row/4);c>=top_row/5;c--)
    {
      if((Right_Flag[70-c]==1||Left_Flag[70-c]==1)) 
      {
        Weight+=(94-Middle[70-c]);
        WeightSum++;
      }
    }
    if(WeightSum!=0) Errorcam=(float)Weight/(float)WeightSum;
    /*******************ª∑µ∫◊Ó¥Û◊Û”“µ„≈–∂œ*********************/

    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Left_Flag[c]==1)
      {
        top_zuo=c;
        break;
      }
      
    }
    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Right_Flag[c]==1)
      {
        top_you=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=70;c++)//leftdot
    {
      if((Left[c-1]<Left[c])&&(Left[c+1]<=Left[c]))
      {
        leftdot=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=60;c++)//leftdot
    {
      if((Right[c-1]>Right[c])&&(Right[c+1]>=Right[c]))
      {
        rightdot=c;
        break;
      }
      
    }
   /***********************»¸µ¿≈–∂œºÚµ•¥¶¿Ì**********************/
     abc=0;
  if(LeftLose>=48&&RightLose==0&&AllLose==0&&zhidao==0&&LeftLose<=56) 
   {
     huanzuo=1;
     
   }
   if(Left_Flag[0]==0&&huanzuo==1) 
   {
     zuob=1;
     zhidao=1;
   
   }
   
   if(huanzuo==1&&zuob==1) 
   {
     if(leftdot<=38) jin=1;
     huandao();
   }
   if(AllLose>20&&LeftLose>20&&RightLose==0)
   {
     huanzuo=0;
     zuob=0;
     jin=0;
     
   }
  if(LeftLose<5&&RightLose<5&&AllLose<5) zhidao=0;
   if(LeftLose==0&&RightLose>=15&&AllLose==0) 
   {
    huanyou=1;
   
   }
   if(AllLose>20&&LeftLose<10&&RightLose<10) 
   {
     abc=4;
   
   }
   if(Errorcam>30) Errorcam=30;
   else if (Errorcam<-30) Errorcam=-30;
   }
   
 






















 #include "headfile.h"
 #include "Getline.h"
/****µÁ¥≈****/
  uint16 sensor[5][SampleNum] = {0}; //µÁ∏–µƒ∂‡∏ˆ≤…—˘÷µ
  uint8  peak[5] = {0}; //√ø∏ˆµÁ∏–µƒ∑Â∑Â÷µ
  int  AD=0;
 /***…„œÒÕ∑***/
  uint16 Right[C_H];
  uint16 Left[C_H];
  uint8 Right_Flag[C_H];
  uint8 Left_Flag[C_H];
  int Middle[C_H];
  int Midpri;
  int last_row;
  int top_row;
  int RightLose,LeftLose,AllLose;
  int huanzuo,huanyou,jin;
  int top_zuo,top_you,leftdot,rightdot,zuob,youb;
  int rightlosestart,leftlosestart;
  int width[C_H]={
      150,149,148,146,145,143,141,139,137,135,
      134,132,130,128,126,124,123,121,119,117,
      116,114,112,111,109,107,105,103,101,99,
      97,95,93,92,90,87,85,83,81,79,77,75,73,
      71,69,67,65,63,61,58,56,54,52,51,49,47,
      45,42,40,38,36,34,32,30,28,26,24,22,20,18
  };
  float weight[70]={
                     0,0,0,0,0,0,0,0,0,0,
                    0,0,0,0,0,0.5,0.5,2,1,1,     //0-9––£¨ª˘±æ”√≤ªµΩ
                    2,1,1,1,1,1,2,2,2,2,  //0-19––£¨ª˘±æ”√≤ªµΩ
                   
                   3.8,3.8,1.8,1.8,2.8,3.3,2.3,3.3,3.3,3.3,//20-29––

                   //1.05,1.05,1.05,1.05,1.05,2,2,2,2,2,
                    
                   2,2,2,2,2,2.0,2.0,2.5,2.5,2.5,//30-39––
            
                   2.1,2.1,2.1,1,1,2,1,1,1,1,//40-49––
                  1,0,0,0,0,};//◊ÓΩ¸ Æ––*///≤ª—πœﬂ£¨”√”⁄Õ‰µ¿
  int firstyuzhi;
  int cn,re[20],abc,n;
  float Errorcam,Errorele;
  int  Weight,WeightSum;
  int luzhang,zhidao;
  /*****************************ª∑µ∫**************************/
  void huandao()              //ΩˆΩˆ◊Ûª∑µ∫»Îª∑
{
  float a,b;
  int zuobian;
  for(int c=0;c<=60;c++)
  {
    if(Left_Flag[c]==0) zuobian=c;
  }
 
 if(jin==1)
  {
    for(int c=10;c<=30;c++)
    {
      
      a+=(140-(Left[c]+width[c]/2));
      b++;

    }
    Errorcam=a/b;
  }
  else 
  {
     for(int c=0;c<=10;c++)
    {
      
      a+=(94-Middle[c]);
      b++;
      

    }
    Errorcam=a/b;
  }
  
  
  if(Errorcam>=30) Errorcam=30;
  if(Errorcam<=-30) Errorcam=-30;
}

  /*********************◊¢“‚ø…“‘ π”√∑Ω≤Óæ˘÷µ¿¥ºÏ—ÈºŸ…Ë  ◊‘º∫∏¯∂®„–÷µªÚ’ﬂ∞¥’’∑÷≤º*********/
int jisuan(int shuju[]) 
{
  int m,count,jun;
  int a,b;
  m=10; //πÃ∂®Œ™ Æ–– µ´ «Œ™¡À–ﬁ∏ƒ∑Ω±„
  for(int i=0;i<=m-1;i++) count+=shuju[i];
  jun=count/m;
  for(int i=0;i<=m-1;i++) a+=(shuju[i]-jun)*(shuju[i]-jun);
  b=a/(m-1); //—˘±æ∑Ω≤Ó
  return b;
  
}
void fangcha1(int row) //∑Ω≤Ó—∞’“ µ⁄“ª––
{
  /********* Æ¡–‘™Àÿ*******/
  int a,b;
  int shuju[10];
  for(a=0;a<=177;a+=10)
  {
    for(b=a;b<=a+9;b++) shuju[b-a]=(int)image[row][b];
    re[n]=jisuan(shuju);  
    n++;
    if(n>=20)n=0;
  }

}
  /*****************************************/
void SetInitVal()
{
  for (int c=0;c<=C_H-1;c++)
  {
    Right[c]=188;
    Left[c]=0;
    Middle[c]=94;
   
    Right_Flag[c]=0;
    Left_Flag[c]=0;
  }
}

void getline_first(void)
{

  SetInitVal();
  LeftLose        = 0;//±‰¡ø«Â¡„
  RightLose       = 0;
  AllLose         = 0;
  firstyuzhi=90;
  cn=0;
  for(int c=0;c<=187;c++)
  {
if(image[119][c]>firstyuzhi)
  {
    cn=c;
  }
    
  }
  
  /************œ»º”“ª≈‹“ª≈‹ø¥ø¥Ã·œﬂÀŸ∂»****************/
  for(int c=cn;c<=182;c++)
  {
    if((image[119][c]-image[119][c+5])>=25)
    {
      Right[0]=c;
      Right_Flag[0]=1;
      break;
    }
  }
  for(int i = cn;i>=5;i--)
      {
        if((image[119][i]-image[119][i-5])>=25)
        {
          Left[0] = i;
          Left_Flag[0]=1;
          break;
        }
      }
  /**************‘› ±ªπ√ª”–≤πœﬂ****************/
  
  if(Right_Flag[0]==1&&Left_Flag[0]==1)
  {
  Middle[0]=(Right[0]+Left[0])/2;
  }
 else if(Right_Flag[0]==0&&Left_Flag[0]==1)
  {
    RightLose++;
   Middle[0]=(Left[0]+width[0]/2);
  }
  else if(Right_Flag[0]==1&&Left_Flag[0]==0)
  {
    LeftLose++;
    Middle[0]=(Right[0]-width[0]/2);
  }
  else if(Right_Flag[0]==0&&Left_Flag[0]==0)
  {
    AllLose++;
    Left[0]=10;
    Right[0]=177;
    Middle[0]=94; //”√÷–œﬂ÷±Ω”∏¯¡À
  }
}
void getline_others()
{
  getline_first();
  int h=49;
  fangcha1(h);
  int xian=5;
  if(abc==4)xian=0;

  else xian=5;
  for(int c=1;c<=C_H-1;c++)
  {
      Midpri=Middle[c-1];
    
    /****************◊Û”“—∞’“Ã·œﬂ∑®********************/
    
    for(int j=Midpri;j>=Left[c-1]-xian;j--)
    {
      if((image[119-c][j]-image[119-c][j-5])>=30)
        {
          Left[c] = j;
          Left_Flag[c]=1;
          break;
        }
      if(j<=5) break;
    }
    for(int j=Midpri;j<=Right[c-1]+xian;j++)
    {
      if((image[119-c][j]-image[119-c][j+5])>=30)
        {
          Right[c] = j;
          Right_Flag[c]=1;
          break;
        }
      if(j>=182) break;
    }
    if(Left_Flag[c]==1&&Right_Flag[c]==1)
    {
    Middle[c]=(Right[c]+Left[c])/2;
    }
    else if(Right_Flag[c]==0&&Left_Flag[c]==1)
  {
    RightLose++;
    Middle[c]=(Left[c]+width[c]/2);
    Right[c]=Right[c-1];
  }
  else if(Right_Flag[c]==1&&Left_Flag[c]==0)
  {
    LeftLose++;
    Middle[c]=(Right[c]-width[c]/2);
    Left[c]=Left[c-1];
  }
  else if(Right_Flag[c]==0&&Left_Flag[c]==0)
  {
    AllLose++;
    Middle[c]=Middle[c-1];
    Left[c]=Left[c-1];
    Right[c]=Right[c-1];
  }
  }
  
  /**************************º∆À„ERROR*******************************/
    Weight=WeightSum=0;
    int jie=0;
    if(abc==4)jie=50;
    else jie=10;
    for(int c=jie;c<70;c++)
    {
      if(Right_Flag[c]==1||Left_Flag[c]==1)
      {
        top_row=70-c;
        break;
      }
    }
    
    for(int c=(top_row-top_row/4);c>=top_row/5;c--)
    {
      if((Right_Flag[70-c]==1||Left_Flag[70-c]==1)) 
      {
        Weight+=(94-Middle[70-c]);
        WeightSum++;
      }
    }
    if(WeightSum!=0) Errorcam=(float)Weight/(float)WeightSum;
    /*******************ª∑µ∫◊Ó¥Û◊Û”“µ„≈–∂œ*********************/

    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Left_Flag[c]==1)
      {
        top_zuo=c;
        break;
      }
      
    }
    for(int c=70-top_row;c<=60;c++)//leftdot
    {
      if(Right_Flag[c]==1)
      {
        top_you=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=70;c++)//leftdot
    {
      if((Left[c-1]<Left[c])&&(Left[c+1]<=Left[c]))
      {
        leftdot=c;
        break;
      }
      
    }
    for(int c=top_zuo;c<=60;c++)//leftdot
    {
      if((Right[c-1]>Right[c])&&(Right[c+1]>=Right[c]))
      {
        rightdot=c;
        break;
      }
      
    }
   /***********************»¸µ¿≈–∂œºÚµ•¥¶¿Ì**********************/
     abc=0;
  if(LeftLose>=48&&RightLose==0&&AllLose==0&&zhidao==0&&LeftLose<=56&&zhidao==0) 
   {
     huanzuo=1;
     
   }
   if(Left_Flag[0]==0&&huanzuo==1) 
   {
     zuob=1;
     zhidao=1;
   
   }
   
   if(huanzuo==1&&zuob==1) 
   {
     if(leftdot<=38) jin=1;
     huandao();
   }
   if(AllLose>20&&LeftLose>20&&RightLose==0)
   {
     huanzuo=0;
     zuob=0;
     jin=0;
     
   }

  if(LeftLose<5&&RightLose<5&&AllLose<5) zhidao=0;
  
   if(LeftLose==0&&RightLose>=15&&AllLose==0) 
   {
    huanyou=1;
   
   }
  
   if(AllLose>25&&LeftLose<10&&RightLose<10&&zhidao==0) 
   {
     abc=4;
   
   }
   if(Errorcam>30) Errorcam=30;
   else if (Errorcam<-30) Errorcam=-30;
   }
   
